50
1,4,17
1,15,1
1,20,30
1,28,7
1,36,5
1,45,3
1,47,28
2,15,20
2,22,25
2,24,3
2,28,19
2,44,2
2,46,20
3,9,26
3,15,2
3,23,6
3,27,29
3,28,23
3,31,26
3,36,1
3,37,5
4,7,23
4,11,26
4,12,15
4,13,1
4,14,15
4,15,25
4,20,23
4,33,13
5,21,2
5,28,9
5,29,8
5,40,12
5,42,13
6,14,20
6,45,2
7,17,24
7,26,29
7,27,30
7,32,15
7,36,27
8,14,8
8,15,6
8,16,22
8,31,3
8,41,17
8,42,13
8,45,5
9,15,16
9,22,16
9,25,29
9,38,17
9,39,5
9,44,9
9,50,10
10,12,2
10,22,26
10,43,1
10,45,28
10,47,10
11,15,11
11,38,16
12,16,13
12,18,6
12,22,26
12,30,1
12,42,20
12,47,29
13,15,5
13,20,15
13,47,9
15,17,10
15,22,22
15,24,7
15,29,11
15,37,6
16,21,23
16,27,20
16,32,22
16,42,4
16,43,11
16,50,14
17,19,23
17,27,1
17,30,8
17,39,26
17,44,5
18,42,15
18,48,4
19,21,15
19,35,4
19,38,18
19,43,4
20,24,17
20,28,22
20,48,24
21,27,12
21,30,28
21,35,26
21,37,13
21,40,5
21,45,28
22,29,10
22,34,23
22,36,3
22,42,13
23,24,24
23,25,16
23,34,18
23,37,14
23,38,9
23,50,15
24,27,2
24,42,26
24,44,6
25,36,9
25,41,5
25,48,26
26,50,21
27,32,29
27,34,5
28,35,21
28,44,1
28,46,5
28,50,12
29,31,5
29,33,16
29,40,15
29,41,5
29,50,14
30,40,26
30,47,13
30,48,10
31,45,29
31,50,27
32,36,13
32,50,7
33,38,22
34,42,13
34,43,29
34,46,4
35,39,12
35,47,5
35,48,30
36,37,4
36,40,30
36,49,1
38,40,5
38,46,9
39,42,20
39,43,11
39,48,5
42,44,22
46,47,12
